accuracy,f1,n_estimators,max_depth,min_samples_leaf,bootstrap,criterion,predictors,predictor importances,Random Sampling
0.8160112895228651,0.7949542892009748,90,12,4,False,entropy,"['case AMOUNT_REQ', 'event concept:name', 'prev event', 'time of day']","[0.0058678741875894174, 0.4849924811231534, 0.4736893917294838, 0.035450252959773366]",0.0
0.8157061672832678,0.7945875786280281,100,12,4,False,entropy,"['case AMOUNT_REQ', 'event concept:name', 'prev event', 'time of day']","[0.005862358003214306, 0.48059341115315596, 0.47772523319418686, 0.03581899764944286]",0.0
0.8158777985430413,0.7948613534870951,110,12,4,False,entropy,"['case AMOUNT_REQ', 'event concept:name', 'prev event', 'time of day']","[0.005818044430765628, 0.48014713310653234, 0.4786173355658692, 0.03541748689683294]",0.0
0.8158396582630917,0.7947459296134896,120,12,4,False,entropy,"['case AMOUNT_REQ', 'event concept:name', 'prev event', 'time of day']","[0.005805415447788359, 0.479759968347332, 0.4791315842917106, 0.0353030319131691]",0.0
0.8158777985430413,0.7947818051475767,130,12,4,False,entropy,"['case AMOUNT_REQ', 'event concept:name', 'prev event', 'time of day']","[0.00583357869257726, 0.4816857311007901, 0.477134549316857, 0.03534614088977561]",0.0
0.8157252374232427,0.7945877553416445,140,12,4,False,entropy,"['case AMOUNT_REQ', 'event concept:name', 'prev event', 'time of day']","[0.005849339081926089, 0.47895464397689935, 0.4796835683174155, 0.035512448623758956]",0.0
0.8156489568633434,0.7945401447778997,150,12,4,False,entropy,"['case AMOUNT_REQ', 'event concept:name', 'prev event', 'time of day']","[0.005852228187745282, 0.47984300859455725, 0.47898363479953027, 0.03532112841816711]",0.0
0.8157443075632175,0.7942889506163961,300,12,4,False,entropy,"['case AMOUNT_REQ', 'event concept:name', 'prev event', 'time of day']","[0.005891843013575961, 0.4740153998654865, 0.4846121202224571, 0.03548063689848032]",0.0
0.8138945039856592,0.7929044392624606,90,16,4,False,entropy,"['case AMOUNT_REQ', 'event concept:name', 'prev event', 'time of day']","[0.012446139322203844, 0.4589920474825213, 0.4799356929813909, 0.048626120213883926]",0.0
0.811262824669133,0.7911464646727798,90,18,4,False,entropy,"['case AMOUNT_REQ', 'event concept:name', 'prev event', 'time of day']","[0.015900257691971082, 0.46581115465316986, 0.4626527879687771, 0.055635799686081934]",0.0
0.8097753537510965,0.790006799310938,90,20,4,False,entropy,"['case AMOUNT_REQ', 'event concept:name', 'prev event', 'time of day']","[0.01849685513075685, 0.45693890968587614, 0.46207321774588395, 0.062491017437482976]",0.0
0.8080781112933368,0.7891906391630852,90,22,4,False,entropy,"['case AMOUNT_REQ', 'event concept:name', 'prev event', 'time of day']","[0.020815183951948438, 0.45127794509451485, 0.45878391417420344, 0.06912295677933321]",0.0
0.80662878065525,0.7887411268047422,90,24,4,False,entropy,"['case AMOUNT_REQ', 'event concept:name', 'prev event', 'time of day']","[0.022094269468579307, 0.45537438433268246, 0.4492115282539205, 0.07331981794481783]",0.0
0.7939471375719898,0.7546897477756044,90,8,4,False,entropy,"['case AMOUNT_REQ', 'event concept:name', 'prev event', 'time of day']","[0.0020335299485965083, 0.4697040859050316, 0.497477785719216, 0.030784598427155915]",0.0
0.8099851252908197,0.7825161803533722,90,9,4,False,entropy,"['case AMOUNT_REQ', 'event concept:name', 'prev event', 'time of day']","[0.002955932258911715, 0.4723376421584689, 0.4928572684695618, 0.03184915711305757]",0.0
0.8130554178267668,0.7899544242548794,90,10,4,False,entropy,"['case AMOUNT_REQ', 'event concept:name', 'prev event', 'time of day']","[0.0037530530517653807, 0.474007632173472, 0.4901608884045083, 0.03207842637025437]",0.0
0.8153247644837713,0.7931812472999585,90,11,4,False,entropy,"['case AMOUNT_REQ', 'event concept:name', 'prev event', 'time of day']","[0.004845318976902949, 0.4822254655782387, 0.47839506406038396, 0.034534151384474375]",0.0
0.8150768526640986,0.7932328545489415,90,12,3,False,entropy,"['case AMOUNT_REQ', 'event concept:name', 'prev event', 'time of day']","[0.0060348406952097705, 0.47708980695768893, 0.4803881849015835, 0.036487167445517756]",0.0
0.8155726763034441,0.7940276221517428,90,12,5,False,entropy,"['case AMOUNT_REQ', 'event concept:name', 'prev event', 'time of day']","[0.005983474886125579, 0.4730438937689313, 0.4850834089590874, 0.035889222385855846]",0.0
0.8157443075632175,0.794646650186719,95,12,4,False,entropy,"['case AMOUNT_REQ', 'event concept:name', 'prev event', 'time of day']","[0.0058462501767356295, 0.48363255365281205, 0.4747347766509003, 0.035786419519552026]",0.0
0.8158396582630917,0.794710706823086,93,12,4,False,entropy,"['case AMOUNT_REQ', 'event concept:name', 'prev event', 'time of day']","[0.005843738800213672, 0.48321611848388296, 0.47526862119141355, 0.03567152152448982]",0.0
0.815801517983142,0.7946639320652824,97,12,4,False,entropy,"['case AMOUNT_REQ', 'event concept:name', 'prev event', 'time of day']","[0.0058773250154005975, 0.48212470401963314, 0.47632433847978645, 0.035673632485179754]",0.0
0.8160684999427896,0.7949959773984768,83,12,4,False,entropy,"['case AMOUNT_REQ', 'event concept:name', 'prev event', 'time of day']","[0.005837531538174595, 0.484173502657354, 0.47436072222817544, 0.03562824357629599]",0.0
0.8159922193828902,0.7949661809143383,85,12,4,False,entropy,"['case AMOUNT_REQ', 'event concept:name', 'prev event', 'time of day']","[0.005831564134938674, 0.48334770024464946, 0.47510213970650494, 0.03571859591390694]",0.0
0.8159922193828902,0.7949493272332955,87,12,4,False,entropy,"['case AMOUNT_REQ', 'event concept:name', 'prev event', 'time of day']","[0.0058489963359691114, 0.48508805371805824, 0.4733902702827825, 0.03567267966319005]",0.0
0.8158205881231169,0.7946955430964108,77,12,4,False,entropy,"['case AMOUNT_REQ', 'event concept:name', 'prev event', 'time of day']","[0.005849221857749614, 0.4820716353667787, 0.47648586601478443, 0.03559327676068726]",0.0
0.815915938822991,0.7947993636293097,79,12,4,False,entropy,"['case AMOUNT_REQ', 'event concept:name', 'prev event', 'time of day']","[0.005830536076460912, 0.48336202684455454, 0.47530263149659757, 0.03550480558238696]",0.0
0.8158968686830161,0.7948012999393221,81,12,4,False,entropy,"['case AMOUNT_REQ', 'event concept:name', 'prev event', 'time of day']","[0.005852591831981148, 0.48395950137030086, 0.4745201602606019, 0.03566774653711602]",0.0
0.8158396582630917,0.7947374346673229,80,12,4,False,entropy,"['case AMOUNT_REQ', 'event concept:name', 'prev event', 'time of day']","[0.005864373128677667, 0.4828765349518893, 0.47556248444257815, 0.035696607476854866]",0.0
0.8160875700827644,0.7950687848308305,84,12,4,False,entropy,"['case AMOUNT_REQ', 'event concept:name', 'prev event', 'time of day']","[0.005830146146803769, 0.4830793227545909, 0.47541679752543603, 0.03567373357316928]",0.0
0.8159540791029406,0.7948969225414848,82,12,4,False,entropy,"['case AMOUNT_REQ', 'event concept:name', 'prev event', 'time of day']","[0.005849963810733604, 0.485180301998448, 0.4733699557714304, 0.03559977841938804]",0.0
0.3416034173690835,0.2010409438126359,2,2,2,False,gini,"['case AMOUNT_REQ', 'event concept:name', 'prev event', 'time of day']","[0.0, 0.0, 0.8369742209475634, 0.16302577905243665]",0.0
0.8063999389755521,0.7782604675163972,2000,10,1,True,gini,"['case AMOUNT_REQ', 'event concept:name', 'prev event', 'time of day']","[0.004927896789634472, 0.47237124065829156, 0.48592374950738776, 0.03677711304468628]",0.0
0.8135512414661124,0.7896388495722141,2000,10,1,True,entropy,"['case AMOUNT_REQ', 'event concept:name', 'prev event', 'time of day']","[0.004909272528825551, 0.47273852843330355, 0.48882600930450576, 0.03352618973336513]",0.0
0.8157252374232427,0.7943114207664745,150,12,4,False,entropy,"['case AMOUNT_REQ', 'event concept:name', 'prev event', 'time of day']","[0.00597480040480497, 0.47275691535556863, 0.485143452849009, 0.036124831390617326]",0.0
